name,prefecture,city,url,mola_star,lat,lng,has_penguin,penguin_source_url,penguin_checked_at,penguin_status,has_dolphin,has_sealion,has_orca,has_jellyfish,animal_checked_at,is_closed,closed_at
小さな水族館  びわこベース,滋賀県,大津市,https://www.biwako-base.com/,0,35.0177852,135.8548122,false,https://www.biwako-base.com/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
滋賀県立琵琶湖博物館,滋賀県,草津市,https://www.biwahaku.jp/,0,35.0738256,135.9347759,false,https://www.biwahaku.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
小さなびわ湖水族館,滋賀県,長浜市,https://ohmitsk.jimdofree.com/%E5%B0%8F%E3%81%95%E3%81%AA%E3%81%B3%E3%82%8F%E6%B9%96%E6%B0%B4%E6%97%8F%E9%A4%A8/,0,35.3789514,136.2660672,true,https://ohmitsk.jimdofree.com/%E5%B0%8F%E3%81%95%E3%81%AA%E3%81%B3%E3%82%8F%E6%B9%96%E6%B0%B4%E6%97%8F%E9%A4%A8/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
京都水族館,京都府,京都市,https://www.kyoto-aquarium.com/,0,34.9875543,135.7478778,true,https://www.kyoto-aquarium.com/,2026/2/26,unknown,true,false,false,true,2026-03-05,FALSE,
花園教会水族館,京都府,京都市,https://www.kyotohanasui.com/,0,35.0109804,135.7694346,true,https://www.kyotohanasui.com/,2026/2/26,unknown,false,true,false,false,2026-03-05,FALSE,
海遊館,大阪府,大阪市,https://www.kintetsu.co.jp/leisure/shimamarine/,0,34.6545464,135.4289211,true,https://www.kintetsu.co.jp/leisure/shimamarine/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
高槻市立自然博物館（あくあぴあ芥川）,大阪府,高槻市,http://www.aquapia.net/,0,34.8464785,135.6172204,false,http://www.aquapia.net/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
ニフレル,大阪府,吹田市,https://www.nifrel.jp/,0,34.8062757,135.5336456,false,https://www.nifrel.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
きんたい廃校博物館,大阪府,八尾市,https://www.satodukuri.jp/pages/4583172/page_202101262135,0,34.6269018,135.6008668,false,https://www.satodukuri.jp/pages/4583172/page_202101262135,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
プラネットアクア・ポート,大阪府,枚方市,https://www.hirakatapark.co.jp/attractions/aquarium/,0,34.8144363,135.6507278,false,https://www.hirakatapark.co.jp/attractions/aquarium/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
神戸須磨シーワールド,兵庫県,神戸市,https://www.kobesuma-seaworld.jp/,0,34.6439517,135.12784,true,https://www.kobesuma-seaworld.jp/,2026/2/26,unknown,true,true,true,true,2026-03-05,FALSE,
